0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
2,Reinaldo Colucci,Brazil,Male,MPRO,1,7:48:28,1,46:07,4,4:13:08,2,2:45:00,1,Finisher
1,Igor Amorelli,Brazil,Male,MPRO,2,7:53:11,2,46:04,2,4:13:21,3,2:49:11,7,Finisher
23,Fernando Toldi,Brazil,Male,MPRO,3,7:59:40,3,46:07,5,4:22:00,5,2:47:16,3,Finisher
10,Arnaud Guilloux,France,Male,MPRO,4,8:02:52,4,47:44,13,4:11:03,1,2:58:48,21,Finisher
8,Andreas Jung,Germany,Male,MPRO,5,8:03:29,5,46:10,7,4:21:44,4,2:50:51,8,Finisher
19,Mario De Elias,Argentina,Male,MPRO,6,8:13:01,6,51:43,35,4:27:20,6,2:49:04,6,Finisher
4,Luis Ohde,Brazil,Male,MPRO,7,8:16:58,7,46:18,11,4:38:50,12,2:47:04,2,Finisher
16,Filipe Azevedo,Portugal,Male,MPRO,8,8:18:33,8,46:09,6,4:31:22,8,2:55:52,13,Finisher
3,Frank Silvestrin,Brazil,Male,MPRO,9,8:20:46,9,48:46,16,4:30:26,7,2:56:32,18,Finisher
25,Thiago Vinhal,Brazil,Male,MPRO,10,8:23:11,10,46:16,10,4:38:15,11,2:52:14,10,Finisher
14,Eduardo Lass,Brazil,Male,MPRO,11,8:25:08,11,46:02,1,4:38:52,13,2:55:59,14,Finisher
17,Gabriel Klein,Brazil,Male,MPRO,12,8:26:16,12,48:45,15,4:43:11,22,2:48:58,5,Finisher
15,Michiel De Wilde,Netherlands,Male,MPRO,13,8:27:23,13,53:56,77,4:35:29,10,2:53:25,11,Finisher
344,Bruno Manzoni,Brazil,Male,M35-39,1,8:36:29,14,57:10,158,4:41:08,15,2:52:08,9,Finisher
22,Diogo Sclebin Costa Martins,Brazil,Male,MPRO,14,8:38:09,15,46:13,9,4:45:37,26,3:01:20,35,Finisher
1334,Arthur Ferraz,Brazil,Male,M40-44,1,8:38:26,16,52:05,39,4:40:30,14,3:00:26,30,Finisher
1516,José Belarmino,Brazil,Male,M45-49,1,8:39:02,17,49:29,19,4:47:48,33,2:56:09,16,Finisher
7,Luiz Francisco Ferreira,Brazil,Male,MPRO,15,8:45:00,18,46:12,8,4:45:28,25,3:07:31,61,Finisher
20,Elliot Holtham,Canada,Male,MPRO,16,8:45:50,19,54:34,85,4:42:47,20,3:03:30,44,Finisher
538,Fernando Maluf,Brazil,Male,M25-29,1,8:45:59,20,53:33,69,4:46:55,29,2:59:32,27,Finisher
706,Mauro Ferrando,Argentina,Male,M35-39,2,8:46:17,21,55:37,109,4:42:21,17,2:59:07,24,Finisher
1470,Felipe Dayrell Silvestre,Brazil,Male,M40-44,2,8:46:50,22,48:59,18,4:49:11,36,2:59:44,28,Finisher
787,Ciro Damiani,Brazil,Male,M35-39,3,8:47:30,23,57:47,187,4:42:25,19,3:00:45,32,Finisher
813,Thiago Lima Massara,Brazil,Male,M35-39,4,8:50:11,24,50:28,23,4:54:03,65,2:59:26,26,Finisher
529,Diego Yazigi Arantes,Brazil,Male,M18-24,1,8:51:06,25,53:29,66,4:56:08,86,2:54:46,12,Finisher
805,Leandro Leao Guerriere,Brazil,Male,M35-39,5,8:51:28,26,54:04,80,4:46:01,27,3:03:46,46,Finisher
340,Salvador Ruiz,Peru,Male,M35-39,6,8:51:29,27,53:48,75,4:51:33,45,2:59:02,22,Finisher
328,Guilherme Queiroz Portilho,Brazil,Male,M35-39,7,8:53:14,28,1:01:06,367,4:42:24,18,3:02:19,36,Finisher
30,Pamella Oliveira,Brazil,Female,FPRO,1,8:54:03,29,48:46,17,4:56:18,87,3:04:05,47,Finisher
144,Carlos Eduardo Kroth,Brazil,Male,M30-34,1,8:55:01,30,56:58,149,4:53:25,59,2:58:23,20,Finisher
148,Alexandre Santos,Brazil,Male,M30-34,2,8:55:11,31,53:00,56,4:43:44,23,3:10:05,83,Finisher
198,Victor Navarro Castello Branco,Brazil,Male,M30-34,3,8:55:32,32,1:01:08,371,4:49:43,40,2:56:31,17,Finisher
259,Joan Manzetto,Argentina,Male,M30-34,4,8:55:46,33,52:36,45,4:54:10,66,3:02:42,38,Finisher
574,Lino Henrique Magalhaes Nardin,Brazil,Male,M25-29,2,8:55:49,34,59:32,258,4:47:31,30,3:02:59,41,Finisher
779,Alejo Castellazzi,Argentina,Male,M35-39,8,8:56:42,35,57:06,155,4:49:39,39,3:05:12,49,Finisher
627,Paulo Jose Gomes Puccinelli,Brazil,Male,M35-39,9,8:57:09,36,49:39,21,5:01:48,149,2:59:02,23,Finisher
1054,Samuel Silva,Brazil,Male,M40-44,3,8:57:32,37,56:04,124,5:06:07,205,2:48:17,4,Finisher
6,Bruno Matheus,Brazil,Male,MPRO,17,8:58:52,38,46:06,3,4:55:15,77,3:09:47,78,Finisher
1508,João Carlos De Almeida,Brazil,Male,M45-49,2,9:00:37,39,50:57,28,4:57:38,102,3:03:29,43,Finisher
1312,Gabriel Marangoni,Argentina,Male,M40-44,4,9:01:00,40,54:14,84,4:42:03,16,3:17:41,148,Finisher
222,Leno Costa,Brazil,Male,M30-34,5,9:01:05,41,56:00,122,4:57:08,96,2:59:57,29,Finisher
1277,Jose Carlos Domingos,Brazil,Male,M40-44,5,9:01:33,42,53:04,58,5:00:34,131,3:00:45,33,Finisher
558,Caio Godoy Ormenese,Brazil,Male,M25-29,3,9:02:43,43,58:37,220,4:45:10,24,3:10:34,88,Finisher
